# Grid sweep over (N, seed, condition) for first-code emergence
# quick=False  runtime_seconds=172.3
# N_values=[64, 128, 256, 512]
# seeds=[321, 322, 323, 324, 325]
# conditions=['selection', 'drift', 'random_search']
# base_config={"latent_dim": 10, "n_actions": 8, "n_codewords": 8, "pop_size": 160, "generations": 450, "samples_per_gen": 768, "eval_samples": 12000, "mutation_std": 0.045, "bias_mutation_std": 0.018, "decoder_flip_prob": 0.08, "elite_frac": 0.45, "slow_noise": 0.14, "substrate_noise": 0.28, "future_delta": 1.1, "run_drift": true, "run_random_search": true}

## Per-run metrics
    N  seed condition       viability   accuracy    entropy     secs
   64   321 selection          0.8017     0.5188     0.8723      2.2
   64   321 drift              0.1815     0.1682     0.9855      2.2
   64   321 random_search      0.2767     0.1680     0.9366      2.1
   64   322 selection          0.7733     0.5721     0.7884      2.2
   64   322 drift              0.1951     0.1641     0.9321      2.3
   64   322 random_search      0.3113     0.2439     0.9170      2.2
   64   323 selection          0.7891     0.5466     0.7431      2.2
   64   323 drift              0.2427     0.1315     0.9219      2.3
   64   323 random_search      0.2916     0.1745     0.8768      2.2
   64   324 selection          0.7918     0.5943     0.9037      2.2
   64   324 drift              0.1842     0.1679     0.9535      2.3
   64   324 random_search      0.2977     0.2251     0.9390      2.2
   64   325 selection          0.7183     0.4603     0.8812      2.3
   64   325 drift              0.1765     0.1373     0.8869      2.3
   64   325 random_search      0.2658     0.1866     0.9626      2.3
  128   321 selection          0.7762     0.5923     0.8930      2.5
  128   321 drift              0.2583     0.1769     0.9642      2.5
  128   321 random_search      0.2419     0.2496     0.9776      2.5
  128   322 selection          0.6960     0.5018     0.7454      2.4
  128   322 drift              0.2250     0.2515     0.9762      2.5
  128   322 random_search      0.2423     0.2476     0.9586      2.4
  128   323 selection          0.7111     0.4909     0.8284      2.4
  128   323 drift              0.1981     0.2281     0.9703      2.5
  128   323 random_search      0.2709     0.2282     0.9427      2.4
  128   324 selection          0.7779     0.6105     0.8985      2.5
  128   324 drift              0.0798     0.1102     0.9519      2.5
  128   324 random_search      0.2419     0.3067     0.8838      2.6
  128   325 selection          0.7345     0.5694     0.8051      2.6
  128   325 drift              0.0483     0.1875     0.9617      2.5
  128   325 random_search      0.2083     0.2049     0.9530      2.6
  256   321 selection          0.7062     0.4842     0.8444      2.9
  256   321 drift              0.1579     0.1904     0.9465      2.9
  256   321 random_search      0.2427     0.1995     0.8921      3.0
  256   322 selection          0.6302     0.4109     0.8174      2.9
  256   322 drift              0.1773     0.1761     0.9691      2.9
  256   322 random_search      0.2529     0.2212     0.8963      3.0
  256   323 selection          0.6876     0.4275     0.8741      2.9
  256   323 drift              0.2051     0.2164     0.9719      3.0
  256   323 random_search      0.2446     0.1937     0.9578      3.0
  256   324 selection          0.6887     0.4711     0.9057      2.8
  256   324 drift              0.1957     0.1339     0.9486      2.9
  256   324 random_search      0.2321     0.1924     0.9724      3.0
  256   325 selection          0.5659     0.2638     0.8010      2.9
  256   325 drift              0.1007     0.1359     0.9595      3.0
  256   325 random_search      0.2277     0.1128     0.9430      3.0
  512   321 selection          0.7135     0.4776     0.8626      3.8
  512   321 drift              0.1785     0.1258     0.9722      3.8
  512   321 random_search      0.2791     0.2517     0.9549      4.0
  512   322 selection          0.7058     0.4799     0.8660      3.7
  512   322 drift              0.1376     0.2218     0.9412      3.8
  512   322 random_search      0.1594     0.2298     0.9201      4.0
  512   323 selection          0.6745     0.4793     0.9075      3.7
  512   323 drift              0.1245     0.1821     0.9732      3.8
  512   323 random_search      0.1895     0.1708     0.9439      4.0
  512   324 selection          0.7135     0.5200     0.8271      3.7
  512   324 drift              0.1210     0.1520     0.9641      3.8
  512   324 random_search      0.1558     0.1673     0.9583      4.0
  512   325 selection          0.7250     0.5413     0.8444      3.7
  512   325 drift              0.0807     0.1436     0.9642      3.8
  512   325 random_search      0.2193     0.2697     0.9474      4.2

## Aggregate (mean +/- 95% CI across seeds)
    N condition        via_mean     via_ci   acc_mean     acc_ci   ent_mean
   64 selection          0.7748     0.0412     0.5384     0.0645     0.8377
   64 drift              0.1960     0.0335     0.1538     0.0222     0.9360
   64 random_search      0.2886     0.0221     0.1996     0.0412     0.9264
  128 selection          0.7391     0.0462     0.5530     0.0668     0.8341
  128 drift              0.1619     0.1148     0.1908     0.0674     0.9649
  128 random_search      0.2411     0.0275     0.2474     0.0469     0.9432
  256 selection          0.6557     0.0718     0.4115     0.1091     0.8485
  256 drift              0.1673     0.0514     0.1705     0.0442     0.9591
  256 random_search      0.2400     0.0126     0.1839     0.0514     0.9323
  512 selection          0.7065     0.0238     0.4996     0.0364     0.8615
  512 drift              0.1285     0.0436     0.1650     0.0468     0.9630
  512 random_search      0.2006     0.0632     0.2179     0.0581     0.9449
